GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
36,Home,7.7,2.9,1,0.3,0.1,0.9,Damion Lee,
40,Road,9.2,6.1,1.1,0.6,1.4,1.1,Daniel Gafford,
38,Home,8.8,5,1,0.3,1.2,1.1,Daniel Gafford,
78,ALL,9,5.6,1.1,0.4,1.3,1.1,Daniel Gafford,WAS
7,ALL,7,3.1,1.3,0.3,0.9,0.4,Daniel Theis,IND
6,Home,6.7,3,1.5,0.3,1,0.5,Daniel Theis,
1,Road,9,4,0,0,0,0,Daniel Theis,
4,Road,6.8,1.5,0.8,1,0.2,0.2,Danny Green,
7,Home,4.9,1.1,0.4,0.3,0.3,1.3,Danny Green,
11,ALL,5.5,1.3,0.5,0.5,0.3,0.9,Danny Green,TOT
31,Road,5.2,1.5,0.8,0.3,0.1,0.6,Danuel House Jr.,
56,ALL,4.8,1.7,0.8,0.3,0.2,0.5,Danuel House Jr.,PHI
25,Home,4.3,1.9,0.7,0.2,0.2,0.3,Danuel House Jr.,
27,Home,6.9,3.4,0.9,0.4,0.1,1.1,Dario Saric,
30,Road,5.8,3.9,1.6,0.3,0.1,0.9,Dario Saric,
57,ALL,6.4,3.6,1.3,0.4,0.1,1,Dario Saric,TOT
43,ALL,5.2,3.2,0.9,0.5,0.8,0.6,Darius Bazley,TOT
4,ALL,3.8,1.5,0.3,0,0.3,0,Darius Days,HOU
34,Home,23,2.7,8.3,1.1,0.1,3.1,Darius Garland,
35,Road,20.2,2.7,7.3,1.3,0.1,2.7,Darius Garland,
69,ALL,21.6,2.7,7.8,1.2,0.1,2.9,Darius Garland,CLE
23,ALL,3.7,1.3,0.9,0.4,0,0.8,David Duke Jr.,BRK
70,ALL,6.7,2.8,0.8,0.4,0.3,0.8,David Roddy,MEM
35,Home,6.5,2.9,0.8,0.3,0.3,0.8,David Roddy,
35,Road,6.8,2.7,0.9,0.6,0.3,0.8,David Roddy,
41,Home,5.3,1.2,2.4,0.6,0.1,0.6,Davion Mitchell,
80,ALL,5.6,1.3,2.3,0.6,0.2,0.8,Davion Mitchell,SAC
39,Road,6,1.5,2.2,0.5,0.2,0.9,Davion Mitchell,
21,Home,4.9,1.2,0.3,0.1,0.1,0.2,Davis Bertans,
24,Road,4.3,1.1,0.6,0.3,0.2,0.2,Davis Bertans,
43,ALL,2.1,1.4,0.5,0.3,0.1,0.5,Davon Reed,TOT
48,ALL,4.7,4.2,0.8,0.3,0.7,0.9,Day'Ron Sharpe,BRK
27,Home,4.2,4.3,0.6,0.2,0.7,0.9,Day'Ron Sharpe,
21,Road,5.4,4,1,0.4,0.6,0.9,Day'Ron Sharpe,
35,Road,24.9,4.1,6.2,1.3,0.3,2.4,De'Aaron Fox,
73,ALL,25,4.2,6.1,1.1,0.3,2.5,De'Aaron Fox,SAC
38,Home,25.1,4.3,6,1,0.4,2.6,De'Aaron Fox,
67,ALL,15.4,4.2,1.4,0.5,0.3,1.2,De'Andre Hunter,ATL
34,Home,15,4.7,1.5,0.6,0.3,1,De'Andre Hunter,
33,Road,15.8,3.8,1.3,0.5,0.2,1.5,De'Andre Hunter,
39,Road,9.5,3.9,2.5,1.9,0.5,1.5,De'Anthony Melton,
38,Home,10.8,4.2,2.6,1.4,0.6,1.2,De'Anthony Melton,
77,ALL,10.1,4.1,2.6,1.6,0.5,1.3,De'Anthony Melton,PHI
16,Home,5,5.2,1,0.1,0.6,1.2,DeAndre Jordan,
39,ALL,5.1,5.2,0.9,0.3,0.6,1.2,DeAndre Jordan,DEN
23,Road,5.2,5.2,0.8,0.4,0.6,1.2,DeAndre Jordan,
74,ALL,24.5,4.6,5.1,1.1,0.5,2.1,DeMar DeRozan,CHI
38,Home,24.1,4.5,4.7,1.1,0.5,2.2,DeMar DeRozan,
36,Road,25,4.8,5.5,1.1,0.5,1.9,DeMar DeRozan,
44,ALL,4.7,3.4,0.8,0.6,0.5,0.4,Dean Wade,CLE
22,Home,5.3,3.1,0.8,0.7,0.4,0.4,Dean Wade,
22,Road,4.1,3.7,0.9,0.5,0.6,0.4,Dean Wade,
34,Road,18.2,9.7,1.9,0.6,0.7,1.9,Deandre Ayton,
33,Home,17.7,10.2,1.5,0.5,0.9,1.7,Deandre Ayton,
67,ALL,18,10,1.7,0.6,0.8,1.8,Deandre Ayton,PHO
35,Road,20.9,5.1,5.9,1.4,0.3,1.9,Dejounte Murray,
74,ALL,20.5,5.3,6.1,1.5,0.3,2.2,Dejounte Murray,ATL
39,Home,20.1,5.4,6.2,1.6,0.3,2.4,Dejounte Murray,
50,ALL,7.4,3.6,3.9,1.8,0.3,0.9,Delon Wright,WAS
24,Road,6.5,3.5,3.6,1.7,0.3,0.8,Delon Wright,
26,Home,8.2,3.7,4.2,2,0.3,0.9,Delon Wright,
38,Road,9.3,6.1,2.9,1.2,0.4,1.7,Deni Avdija,
38,Home,9,6.7,2.6,0.6,0.3,1.5,Deni Avdija,
76,ALL,9.2,6.4,2.8,0.9,0.4,1.6,Deni Avdija,WAS
