GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period
12,2022-23,1.4,1.8,0.2,0.0,0.2,0.2,Moses Brown,1
13,2022-23,1.5,1.7,0.1,0.0,0.2,0.3,Moses Brown,2
14,2022-23,1.4,1.9,0.0,0.0,0.3,0.3,Moses Brown,3
30,2022-23,3.3,2.3,0.0,0.1,0.2,0.2,Moses Brown,4
16,2022-23,1.8,1.2,0.2,0.2,0.3,0.4,Greg Brown III,0
1,2022-23,0.0,0.0,0.0,0.0,0.0,0.0,Greg Brown III,1
2,2022-23,1.5,1.0,0.0,0.0,1.0,0.0,Greg Brown III,2
16,2022-23,1.6,1.1,0.2,0.2,0.2,0.4,Greg Brown III,4
76,2022-23,7.1,4.1,1.2,0.8,0.2,0.6,Troy Brown Jr.,0
76,2022-23,2.4,1.3,0.3,0.2,0.0,0.2,Troy Brown Jr.,1
74,2022-23,1.4,0.9,0.3,0.3,0.1,0.1,Troy Brown Jr.,2
73,2022-23,2.0,1.1,0.4,0.2,0.0,0.1,Troy Brown Jr.,3
63,2022-23,1.7,0.9,0.2,0.2,0.0,0.2,Troy Brown Jr.,4
68,2022-23,24.0,3.5,6.2,0.9,0.2,2.1,Jalen Brunson,0
68,2022-23,6.2,1.2,1.5,0.3,0.1,0.5,Jalen Brunson,1
68,2022-23,6.1,0.8,1.5,0.2,0.0,0.6,Jalen Brunson,2
67,2022-23,6.4,0.9,2.0,0.3,0.0,0.4,Jalen Brunson,3
63,2022-23,5.4,0.7,1.2,0.2,0.1,0.6,Jalen Brunson,4
59,2022-23,9.8,5.7,0.5,0.3,0.5,0.6,Thomas Bryant,0
52,2022-23,2.9,1.5,0.2,0.0,0.1,0.1,Thomas Bryant,1
52,2022-23,2.7,1.7,0.1,0.1,0.2,0.3,Thomas Bryant,2
47,2022-23,2.9,1.7,0.1,0.1,0.1,0.1,Thomas Bryant,3
46,2022-23,3.3,2.1,0.1,0.1,0.2,0.2,Thomas Bryant,4
78,2022-23,7.2,3.6,1.4,0.7,0.2,0.5,Reggie Bullock Jr.,0
78,2022-23,2.2,0.8,0.3,0.1,0.0,0.1,Reggie Bullock Jr.,1
77,2022-23,1.6,0.9,0.4,0.2,0.0,0.1,Reggie Bullock Jr.,2
77,2022-23,1.8,0.9,0.4,0.1,0.0,0.2,Reggie Bullock Jr.,3
70,2022-23,1.7,1.0,0.4,0.2,0.1,0.1,Reggie Bullock Jr.,4
51,2022-23,12.8,3.1,2.2,0.7,0.2,1.1,Alec Burks,0
50,2022-23,3.4,0.8,0.5,0.3,0.0,0.2,Alec Burks,1
51,2022-23,3.1,0.9,0.6,0.2,0.1,0.3,Alec Burks,2
51,2022-23,3.4,0.8,0.7,0.2,0.0,0.4,Alec Burks,3
45,2022-23,3.2,0.7,0.4,0.1,0.0,0.3,Alec Burks,4
6,2022-23,6.2,0.7,1.3,0.8,0.0,0.8,Jared Butler,0
2,2022-23,5.0,0.0,0.0,0.5,0.0,0.5,Jared Butler,1
3,2022-23,1.7,0.7,1.0,0.3,0.0,1.0,Jared Butler,2
2,2022-23,6.0,0.5,0.0,0.5,0.0,0.0,Jared Butler,3
6,2022-23,1.7,0.2,0.8,0.3,0.0,0.2,Jared Butler,4
64,2022-23,22.9,5.9,5.3,1.8,0.3,1.6,Jimmy Butler,0
64,2022-23,6.2,1.7,1.7,0.5,0.1,0.4,Jimmy Butler,1
64,2022-23,5.1,1.3,1.2,0.4,0.0,0.3,Jimmy Butler,2
64,2022-23,7.0,1.7,1.7,0.6,0.1,0.6,Jimmy Butler,3
55,2022-23,5.2,1.3,0.8,0.4,0.1,0.3,Jimmy Butler,4
19,2022-23,2.4,0.9,0.6,0.4,0.5,0.1,John Butler Jr.,0
9,2022-23,1.0,0.3,0.3,0.1,0.1,0.0,John Butler Jr.,1
7,2022-23,0.4,0.1,0.3,0.1,0.1,0.1,John Butler Jr.,2
