Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
422,35,Home,10.0,2.2,2.5,1.0,0.1,1.7,Gabe Vincent,,1629216.0,2.2,0.018,0.066,0.176,0.545,0.137
421,33,Road,8.8,2.1,2.4,0.8,0.0,0.9,Gabe Vincent,,1629216.0,-4.0,0.014,0.077,0.163,0.519,0.141
424,3,ALL,8.0,2.0,1.7,0.7,0.0,0.0,Gabe York,IND,1628221.0,17.4,0.0,0.094,0.173,0.548,0.109
427,25,ALL,2.0,0.7,0.5,0.4,0.1,0.2,Garrett Temple,NOP,202066.0,-5.3,0.027,0.069,0.123,0.535,0.117
426,14,Home,1.4,0.6,0.5,0.3,0.0,0.2,Garrett Temple,,202066.0,-7.5,0.038,0.052,0.122,0.382,0.111
425,11,Road,2.8,0.7,0.5,0.5,0.2,0.1,Garrett Temple,,202066.0,-2.5,0.013,0.091,0.124,0.708,0.125
430,54,ALL,4.8,1.4,0.5,0.4,0.1,0.4,Garrison Mathews,TOT,1629726.0,-6.4,0.014,0.082,0.139,0.573,0.057
429,28,Home,4.0,1.4,0.3,0.4,0.1,0.2,Garrison Mathews,,1629726.0,-4.7,0.017,0.086,0.135,0.535,0.043
428,26,Road,5.5,1.3,0.7,0.5,0.1,0.5,Garrison Mathews,,1629726.0,-7.9,0.012,0.078,0.143,0.606,0.068
433,48,ALL,8.3,2.0,1.2,0.9,0.3,0.6,Gary Harris,ORL,203914.0,-2.8,0.018,0.069,0.125,0.62,0.067
432,22,Home,9.5,2.1,1.3,1.1,0.2,0.5,Gary Harris,,203914.0,-4.7,0.021,0.072,0.139,0.647,0.077
431,26,Road,7.2,2.0,1.2,0.8,0.3,0.6,Gary Harris,,203914.0,-1.2,0.016,0.066,0.114,0.592,0.059
434,22,ALL,4.6,3.1,1.4,1.0,0.2,0.7,Gary Payton II,TOT,1627780.0,5.4,0.069,0.121,0.101,0.701,0.106
436,16,Home,4.8,2.8,1.4,1.0,0.1,0.7,Gary Payton II,,1627780.0,2.3,0.061,0.116,0.104,0.742,0.123
435,6,Road,4.2,4.2,1.2,1.0,0.5,0.8,Gary Payton II,,1627780.0,12.7,0.09,0.13,0.097,0.599,0.074
439,66,ALL,17.4,2.6,1.6,1.6,0.2,0.8,Gary Trent Jr.,TOR,1629018.0,-2.1,0.013,0.073,0.209,0.56,0.075
438,32,Home,18.3,2.8,1.8,1.9,0.3,1.0,Gary Trent Jr.,,1629018.0,2.6,0.014,0.076,0.212,0.579,0.08
437,34,Road,16.5,2.4,1.5,1.3,0.1,0.7,Gary Trent Jr.,,1629018.0,-6.6,0.012,0.069,0.205,0.542,0.07
440,46,ALL,5.0,1.8,2.4,0.6,0.1,0.7,George Hill,TOT,201588.0,1.9,0.017,0.077,0.11,0.61,0.178
443,78,ALL,8.2,2.4,1.0,0.4,0.2,0.7,Georges Niang,PHI,1627777.0,1.3,0.013,0.109,0.162,0.61,0.074
442,40,Home,8.2,2.3,0.8,0.6,0.2,0.7,Georges Niang,,1627777.0,2.2,0.017,0.107,0.165,0.623,0.068
441,38,Road,8.2,2.4,1.1,0.2,0.1,0.7,Georges Niang,,1627777.0,0.5,0.01,0.111,0.158,0.597,0.08
444,63,ALL,31.1,11.8,5.7,0.8,0.8,3.9,Giannis Antetokounmpo,MIL,203507.0,7.2,0.065,0.268,0.373,0.605,0.314
446,32,Home,33.0,11.4,5.1,0.8,0.8,3.8,Giannis Antetokounmpo,,203507.0,9.3,0.071,0.257,0.388,0.62,0.291
445,31,Road,29.1,12.2,6.3,0.9,0.8,4.1,Giannis Antetokounmpo,,203507.0,5.2,0.06,0.28,0.358,0.589,0.337
449,38,ALL,4.4,3.6,1.0,0.4,0.7,0.6,Goga Bitadze,TOT,1629048.0,3.7,0.123,0.167,0.147,0.582,0.122
447,17,Home,5.4,4.1,1.2,0.4,0.7,0.6,Goga Bitadze,,1629048.0,5.6,0.128,0.179,0.158,0.585,0.127
448,21,Road,3.6,3.2,0.9,0.5,0.7,0.5,Goga Bitadze,,1629048.0,1.9,0.118,0.157,0.136,0.578,0.117
450,58,ALL,6.3,1.4,2.6,0.2,0.1,1.1,Goran Dragic,TOT,201609.0,-0.6,0.018,0.075,0.198,0.514,0.237
453,50,ALL,14.7,4.3,4.1,0.8,0.2,2.0,Gordon Hayward,CHO,202330.0,-3.3,0.02,0.112,0.196,0.563,0.187
452,24,Home,15.1,3.2,4.3,1.0,0.2,2.0,Gordon Hayward,,202330.0,-4.0,0.008,0.093,0.199,0.586,0.199
451,26,Road,14.3,5.3,3.9,0.7,0.3,1.9,Gordon Hayward,,202330.0,-2.7,0.029,0.13,0.192,0.542,0.177
454,31,ALL,3.9,3.5,1.7,0.1,0.5,1.0,Gorgui Dieng,SAS,203476.0,-18.6,0.063,0.22,0.177,0.493,0.221
456,79,ALL,8.1,4.6,1.7,0.5,0.4,1.0,Grant Williams,BOS,1629684.0,5.9,0.042,0.134,0.128,0.605,0.086
