,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1191,59,2022-23,3.2,1.7,0.7,0.2,0.1,0.6,Kelly Olynyk,4,203482,-2.9,0.06,0.16,0.17,0.656,0.134
1192,25,2022-23,2.2,0.8,0.2,0.2,0,0.2,Eugene Omoruyi,1,1630647,-9.1,0.067,0.084,0.185,0.519,0.044
1193,32,2022-23,2.5,0.9,0.2,0.2,0,0.4,Eugene Omoruyi,2,1630647,-3.8,0.054,0.118,0.221,0.549,0.075
1194,26,2022-23,2.9,1.2,0.3,0.3,0.1,0.3,Eugene Omoruyi,3,1630647,17.8,0.078,0.154,0.19,0.669,0.073
1195,33,2022-23,2,0.9,0.2,0.2,0,0.3,Eugene Omoruyi,4,1630647,-9.6,0.065,0.087,0.176,0.428,0.065
1196,66,2022-23,1.9,0.6,0.2,0.1,0,0.2,Cedi Osman,1,1626224,6.8,0.037,0.078,0.159,0.575,0.064
1197,75,2022-23,3.1,0.9,0.7,0.2,0,0.2,Cedi Osman,2,1626224,17,0.019,0.114,0.18,0.584,0.135
1198,63,2022-23,2.3,0.6,0.3,0.1,0,0.3,Cedi Osman,3,1626224,-2.1,0.006,0.1,0.19,0.575,0.102
1199,54,2022-23,3,0.7,0.5,0.1,0.1,0.2,Cedi Osman,4,1626224,0.9,0.006,0.1,0.183,0.579,0.11
1200,48,2022-23,5.1,1.4,0.3,0.4,0.1,0.4,Kelly Oubre Jr.,1,1626162,-8.9,0.036,0.137,0.268,0.511,0.055
1201,48,2022-23,5.9,1,0.5,0.3,0.1,0.3,Kelly Oubre Jr.,2,1626162,-5.4,0.037,0.093,0.284,0.562,0.093
1202,46,2022-23,5.3,1.2,0.2,0.4,0.1,0.2,Kelly Oubre Jr.,3,1626162,-7.2,0.054,0.099,0.265,0.535,0.04
1203,43,2022-23,4.3,1.7,0.2,0.4,0.2,0.3,Kelly Oubre Jr.,4,1626162,-8.7,0.028,0.153,0.213,0.511,0.035
1204,59,2022-23,2.9,0.9,2.4,0.5,0,0.5,Chris Paul,1,101108,10.5,0.012,0.091,0.158,0.592,0.361
1205,59,2022-23,3.7,1.1,2.4,0.3,0.2,0.5,Chris Paul,2,101108,3.9,0.012,0.118,0.198,0.574,0.454
1206,57,2022-23,4,1.1,2.4,0.4,0.1,0.5,Chris Paul,3,101108,-5.1,0.014,0.117,0.2,0.558,0.373
1207,49,2022-23,3.9,1.3,2,0.4,0.1,0.5,Chris Paul,4,101108,0,0.019,0.152,0.227,0.497,0.365
1208,48,2022-23,2.7,0.6,1,0.3,0,0.5,Cameron Payne,1,1626166,-11,0.011,0.103,0.218,0.578,0.277
1209,46,2022-23,2.5,0.5,1.2,0.2,0.1,0.5,Cameron Payne,2,1626166,8.4,0.007,0.087,0.231,0.453,0.292
1210,44,2022-23,2.4,0.5,1.4,0.1,0,0.3,Cameron Payne,3,1626166,24.9,0.011,0.096,0.217,0.562,0.326
1211,40,2022-23,3.4,0.8,1.2,0.2,0.1,0.5,Cameron Payne,4,1626166,-3.4,0.019,0.117,0.291,0.478,0.345
1212,21,2022-23,1.2,0.6,0.3,0.4,0.1,0.1,Gary Payton II,1,1627780,0.6,0.048,0.087,0.119,0.606,0.097
1213,21,2022-23,1.3,0.7,0.3,0.3,0,0.3,Gary Payton II,2,1627780,1.2,0.065,0.095,0.097,0.85,0.085
1214,21,2022-23,0.7,1,0.4,0.2,0,0.2,Gary Payton II,3,1627780,-13.7,0.076,0.153,0.078,0.583,0.118
1215,21,2022-23,1.6,1,0.5,0.1,0.1,0.1,Gary Payton II,4,1627780,32.6,0.09,0.15,0.113,0.747,0.123
1216,79,2022-23,2.8,2.3,0.9,0.2,0.2,0.3,Mason Plumlee,1,203486,-10.8,0.098,0.23,0.142,0.671,0.166
1217,77,2022-23,2.5,2,0.8,0.1,0.1,0.4,Mason Plumlee,2,203486,-7.5,0.107,0.232,0.155,0.702,0.179
1218,78,2022-23,2.9,2.5,0.9,0.1,0.2,0.4,Mason Plumlee,3,203486,2.6,0.098,0.261,0.155,0.67,0.173
1219,75,2022-23,2.7,2.1,0.6,0.1,0.1,0.3,Mason Plumlee,4,203486,-6.3,0.121,0.221,0.144,0.714,0.144
1220,72,2022-23,3.6,2.3,0.7,0.3,0.4,0.5,Jakob Poeltl,1,1627751,-1.1,0.088,0.24,0.187,0.63,0.137
1221,72,2022-23,2.9,2.4,0.7,0.2,0.2,0.4,Jakob Poeltl,2,1627751,-6.5,0.099,0.266,0.17,0.602,0.15
1222,70,2022-23,3.6,2.6,0.7,0.3,0.3,0.5,Jakob Poeltl,3,1627751,4.9,0.142,0.227,0.186,0.638,0.129
1223,60,2022-23,2.8,2.1,0.7,0.2,0.3,0.4,Jakob Poeltl,4,1627751,-11.6,0.149,0.222,0.174,0.678,0.186
1224,33,2022-23,2.5,1.9,0.7,0.2,0.5,0.6,Aleksej Pokusevski,1,1630197,-22,0.071,0.191,0.182,0.52,0.158
1225,31,2022-23,2.2,1,0.4,0.1,0.2,0.3,Aleksej Pokusevski,2,1630197,-19,0.062,0.117,0.179,0.527,0.107
1226,28,2022-23,2.9,1.4,0.5,0.1,0.4,0.3,Aleksej Pokusevski,3,1630197,6.6,0.069,0.149,0.186,0.598,0.119
1227,21,2022-23,1.8,1.1,0.5,0.3,0.4,0.3,Aleksej Pokusevski,4,1630197,-14.6,0.015,0.18,0.172,0.416,0.133
1228,82,2022-23,4.7,0.6,1.2,0.2,0.1,0.6,Jordan Poole,1,1629673,-3.5,0.011,0.063,0.244,0.595,0.223
1229,82,2022-23,5.3,0.8,1.3,0.2,0,1.1,Jordan Poole,2,1629673,0.2,0.012,0.08,0.305,0.549,0.263
1230,82,2022-23,5.4,0.5,1,0.2,0.1,0.7,Jordan Poole,3,1629673,-1.3,0.01,0.05,0.279,0.615,0.224
1231,80,2022-23,5.1,0.9,1,0.2,0.1,0.7,Jordan Poole,4,1629673,1.8,0.015,0.101,0.299,0.548,0.226
1232,62,2022-23,5.2,1.7,0.4,0.1,0.1,0.2,Michael Porter Jr.,1,1629008,16.4,0.023,0.17,0.234,0.59,0.059
1233,62,2022-23,4.3,1.5,0.3,0.1,0.1,0.4,Michael Porter Jr.,2,1629008,7.6,0.043,0.161,0.204,0.664,0.046
1234,62,2022-23,5.5,1.5,0.3,0.2,0.2,0.4,Michael Porter Jr.,3,1629008,8.6,0.053,0.134,0.244,0.641,0.053
1235,52,2022-23,2.8,1,0.1,0.1,0.2,0.2,Michael Porter Jr.,4,1629008,5.7,0.034,0.128,0.188,0.572,0.023
1236,7,2022-23,0.3,0.6,0.3,0,0,0.1,Otto Porter Jr.,1,203490,-24.1,0.024,0.094,0.049,0.333,0.1
1237,8,2022-23,2.4,0.9,0.1,0.5,0,0,Otto Porter Jr.,2,203490,12.7,0.075,0.114,0.111,0.839,0.031
1238,6,2022-23,1.5,0.7,0.5,0.5,0,0,Otto Porter Jr.,3,203490,-28.1,0.054,0.077,0.138,0.398,0.158
1239,7,2022-23,2,0.6,0.3,0.6,0,0.4,Otto Porter Jr.,4,203490,13.5,0,0.095,0.116,0.888,0.063
1240,70,2022-23,4.8,2.8,0.5,0.1,0,0.5,Bobby Portis,1,1626171,7.3,0.073,0.282,0.258,0.599,0.096
1241,70,2022-23,3.4,2.6,0.3,0.1,0.1,0.3,Bobby Portis,2,1626171,-6.6,0.096,0.256,0.211,0.542,0.084
1242,70,2022-23,3.7,2.6,0.4,0.2,0.1,0.2,Bobby Portis,3,1626171,0.8,0.089,0.269,0.193,0.602,0.09
1243,64,2022-23,2.1,1.6,0.2,0.1,0,0.2,Bobby Portis,4,1626171,-3.2,0.054,0.238,0.17,0.531,0.066
1244,65,2022-23,8,2.4,0.7,0.2,0.6,0.6,Kristaps Porzingis,1,204001,4.5,0.042,0.207,0.298,0.668,0.106
1245,65,2022-23,4.9,1.6,0.7,0.2,0.2,0.6,Kristaps Porzingis,2,204001,-1.8,0.056,0.17,0.273,0.612,0.145
1246,65,2022-23,5.8,2.6,0.8,0.3,0.5,0.6,Kristaps Porzingis,3,204001,2.5,0.054,0.221,0.251,0.615,0.128
1247,59,2022-23,4.8,1.9,0.6,0.1,0.4,0.4,Kristaps Porzingis,4,204001,0.5,0.086,0.169,0.266,0.593,0.129
1248,1,2022-23,0,4,0,0,0,1,Micah Potter,1,1630695,-30,0.25,0.75,0.182,0,0
1249,2,2022-23,3,1.5,0,0,0,0,Micah Potter,2,1630695,-8.7,0,0.214,0.148,0.75,0
1250,1,2022-23,0,2,0,1,0,0,Micah Potter,3,1630695,-100,0,0.667,0,0,0
1251,7,2022-23,2.6,1,0.6,0,0,0.1,Micah Potter,4,1630695,11.8,0.05,0.132,0.121,0.9,0.182
1252,72,2022-23,1.9,1.2,0.3,0.2,0.1,0.2,Dwight Powell,1,203939,6.2,0.114,0.086,0.107,0.699,0.068
1253,66,2022-23,1.7,1.2,0.3,0.2,0.1,0.3,Dwight Powell,2,203939,5.7,0.101,0.147,0.119,0.742,0.072
1254,71,2022-23,2.3,1.2,0.2,0.2,0.1,0.3,Dwight Powell,3,203939,6.5,0.087,0.139,0.135,0.808,0.049
1255,56,2022-23,1.6,1.1,0.2,0.2,0.1,0.2,Dwight Powell,4,203939,4.6,0.134,0.122,0.144,0.674,0.095
1256,60,2022-23,3.2,0.7,0.2,0.2,0.1,0.3,Norman Powell,1,1626181,-1.7,0.009,0.117,0.251,0.568,0.069
1257,60,2022-23,5.2,0.9,0.6,0.2,0,0.5,Norman Powell,2,1626181,-4.4,0.011,0.108,0.268,0.629,0.13
